1,Nights,All Star Sports Bar & Grill,https://media-cdn.tripadvisor.com/media/photo-s/07/99/68/46/turkey-sandwich-with.jpg,Enjoy great food and drinks in the company of sports enthusiasts like yourself. All food is scratch-made and each booth has its own television. Game on.,1.5,3.5,"{u'lat': 40.4560135, u'lng': -80.1645779}","6302 Robinson Town Centre Blvd, Pittsburgh, PA 15205",40.4560135,-80.1645779,http://www.allstarsportsbargrill.com/robinson,"Were true Pittsburghers through and through - so we know what is most important to our neighbors and friends:
    good food, 
    good beer 
    and sports.
    
We've created an elevated sports bar where you can enjoy all three. 
We take as much pride in our food as Pittsburghers take in our city. All of our foods are scratch-made fresh daily. We cut our fries, grill our burgers, and fry our wings fresh and delicious as soon as you order. Cold, refreshing premium beers are always available on tap or by the bottle. And of course, each of our locations is decked out with over 20 High Def big-screen TVs, playing all of the major sports channels. Each booth features its own flat-screen TV so your family and friends can enjoy your channel of choice (yes, you are free to flip away from the Steelers game, though we don't recommend that). Each of our locations has its own unique culture and menu offerings. No matter what team you're rooting for, we can all agree that fresh grilled food, a premium draft list and dozens of sports channels go together as beautifully as black and gold.",20
2,Fun&Games,Southside Works Cinema,https://media-cdn.tripadvisor.com/media/photo-s/0b/f4/71/20/photo0jpg.jpg,,1.5,4.5,"{u'lat': 40.4282271, u'lng': -79.96527720000002}","425 Cinema Dr, Pittsburgh, PA 15203-2373",40.4282271,-79.9652772,,,0
3,Sights,Sri Venkateswara Temple,https://media-cdn.tripadvisor.com/media/photo-s/07/16/a1/74/with-nalini-kizhoor-warrier.jpg,,1,4.5,"{u'lat': 40.44100960000001, u'lng': -79.8048759}","1230 McCully Dr, Pittsburgh, PA 15235-4715",40.4410096,-79.8048759,,,0
4,Sights,St Paul Cathedral,https://media-cdn.tripadvisor.com/media/photo-s/0a/1e/8c/11/streetside-view.jpg,,1,5,"{u'lat': 40.447216, u'lng': -79.95050239999999}","108 N Dithridge St, Pittsburgh, PA 15213-2680",40.447216,-79.9505024,,,0
5,Sights,Stage AE,https://media-cdn.tripadvisor.com/media/photo-s/03/4b/36/36/stage-ae.jpg,,1,4,"{u'lat': 40.44618630000001, u'lng': -80.0120666}","400 N Shore Dr, Pittsburgh, PA 15212-5867",40.4461863,-80.0120666,,,0
6,Food,Hop Farm Brewing Company,https://media-cdn.tripadvisor.com/media/photo-s/0a/ec/4e/4d/ta-img-20160416-160121.jpg,12 Taps Flowing! 2 Nitro.,1,4.5,"{u'lat': 40.4846953, u'lng': -79.9479546}","5601 Butler St, Pittsburgh, PA 15201-2326",40.4846953,-79.9479546,http://www.hopfarmbrewingco.com/,"Hop Farm Brewing company is a woman owned craft brewery in the Lawrenceville neighborhood of Pittsburgh Pennsylvania. Our focus is on sustainability and local sourcing while producing hoppy ales, farmhouse ales, sour ales and various other interesting brews
Stop in for a Pint and a delicious locally sourced menu today at our Brew Pub (Kitchen open until 10pm, 5pm on Sundays). Sunday Brunch Starts at 11AM! Food menu on the bottom the Brews page.
Take a look at our Updated Brews page for a look at whats on tap and coming from the kitchen.
Regular Hours: 
Wed: 4:30 - 11:00pm 
Thurs: 4:30 - 11:00pm 
Fri: 4:30 - 12:00am 
Sat 12:00 - 12:00am
